"","fvals","trainerr","testerr"
"106",1157.06769393443,40.2985074626866,94.0397350993377
"107",961.844669516218,25.8706467661692,43.7086092715232
"108",903.565273252078,32.3383084577114,85.4304635761589
"109",1209.14743470827,39.3034825870647,72.8476821192053
"110",1237.91844933685,40.2985074626866,100.662251655629
"111",1431.85806444387,15.4228855721393,29.1390728476821
"112",1364.72791051174,37.8109452736318,98.6754966887417
"113",1205.72698060786,36.318407960199,34.4370860927152
"114",1435.56640002129,26.3681592039801,37.7483443708609
"115",1047.64736799226,23.8805970149254,35.0993377483444
"116",932.377360107299,27.8606965174129,64.9006622516556
"117",1261.70731928633,24.8756218905473,45.0331125827815
"118",880.613634682528,25.8706467661692,18.5430463576159
"119",1242.25589612212,41.7910447761194,99.3377483443709
"120",1304.38426706247,37.8109452736318,39.7350993377483
